Label,precision,recall,f1-score,support
Neutral Discussion,0.8962386511024644,0.9407760381211708,0.9179674526735304,1469.0
Friendly Banter,0.7760180995475113,0.7707865168539326,0.7733934611048479,445.0
Harassment,0.8253968253968254,0.5531914893617021,0.6624203821656051,94.0
Malicious Sarcasm,0.42857142857142855,0.13043478260869565,0.2,23.0
Trolling,0.9150943396226415,0.8738738738738738,0.8940092165898618,111.0
Prejudicial,0.8333333333333334,0.20833333333333334,0.3333333333333333,24.0
accuracy,0.8688827331486612,0.8688827331486612,0.8688827331486612,0.8688827331486612
macro avg,0.7791087795957007,0.5795660056921181,0.6301873076445298,2166.0
weighted avg,0.86376848980181,0.8688827331486612,0.8618452526011611,2166.0
